工作表,怪物ID,Excel行,物品名,B物品ID,C奖励类型,D金币金额,E公式或原数字,E表示类型,数值候选或公式精确分数,F显示来源,G历史构成,H原槽字段
黑野猪,132,16,蓝色水晶戒指,202,物品,,'=1/60,exact_formula,1/60,'=E16,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_040
黑野猪,132,17,魔法手镯,183,物品,,'=1/60,exact_formula,1/60,'=E17,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.v505_0048
黑野猪,132,18,魔鬼项链,161,物品,,'=1/60,exact_formula,1/60,'=E18,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_041
黑野猪,132,19,偃月,95,物品,,'=1/60,exact_formula,1/60,'=E19,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_039
黑野猪,132,20,小手镯,175,物品,,'=1/60,exact_formula,1/60,'=E20,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_032
黑野猪,132,21,斩马刀,94,物品,,'=1/60,exact_formula,1/60,'=E21,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_038
黑野猪,132,22,珍珠戒指,205,物品,,'=1/60,exact_formula,1/60,'=E22,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_036
黑野猪,132,23,生铁戒指,201,物品,,'=1/60,exact_formula,1/60,'=E23,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_028
黑野猪,132,24,白色虎齿项链,159,物品,,'=1/60,exact_formula,1/60,'=E24,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_029
黑野猪,132,25,白金项链,155,物品,,'=1/60,exact_formula,1/60,'=E25,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_030
黑野猪,132,26,破魂,93,物品,,'=1/60,exact_formula,1/60,'=E26,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_037
黑野猪,132,27,蛇眼戒指,204,物品,,'=1/60,exact_formula,1/60,'=E27,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_035
黑野猪,132,28,道士手镯,185,物品,,'=1/60,exact_formula,1/60,'=E28,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_020
黑野猪,132,29,降魔,96,物品,,'=1/60,exact_formula,1/60,'=E29,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_033
黑野猪,132,30,骷髅戒指,207,物品,,'=1/60,exact_formula,1/60,'=E30,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_031
黑野猪,132,31,魔力手镯,186,物品,,'=1/60,exact_formula,1/60,'=E31,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_045
黑野猪,132,32,黑檀手镯,184,物品,,'=1/60,exact_formula,1/60,'=E32,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_021
黑野猪,132,33,黑色水晶戒指,203,物品,,'=1/60,exact_formula,1/60,'=E33,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_034
黑野猪,132,34,战神油,920019,物品,,'=1/192,exact_formula,1/192,'=E34,SPB:AUTO_BOOST,dpv2.direct.m132.slot_005
黑野猪,132,35,祝福油,920033,物品,,'=1/192,exact_formula,1/192,'=E35,SPB:AUTO_BOOST,dpv2.direct.m132.v505_0012
黑野猪,132,36,灵魂战衣(男),127,物品,,'=1/60,exact_formula,1/60,'=E36,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_024
黑野猪,132,38,蓝翡翠项链,165,物品,,'=1/60,exact_formula,1/60,'=E38,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_016
黑野猪,132,39,道德戒指,209,物品,,'=1/60,exact_formula,1/60,'=E39,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_018
黑野猪,132,40,重盔甲(男),122,物品,,'=1/60,exact_formula,1/60,'=E40,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_022
黑野猪,132,42,金戒指,206,物品,,'=1/60,exact_formula,1/60,'=E42,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_015
黑野猪,132,43,金手镯,188,物品,,'=1/60,exact_formula,1/60,'=E43,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_017
黑野猪,132,44,魅力戒指,208,物品,,'=1/60,exact_formula,1/60,'=E44,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_019
黑野猪,132,45,魔法长袍(男),124,物品,,'=1/60,exact_formula,1/60,'=E45,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_026
黑野猪,132,47,凝霜,98,物品,,'=1/120,exact_formula,1/120,'=E47,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_014
黑野猪,132,48,放大镜,166,物品,,'=1/120,exact_formula,1/120,'=E48,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_011
黑野猪,132,49,竹笛,167,物品,,'=1/120,exact_formula,1/120,'=E49,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_012
黑野猪,132,50,道士头盔,149,物品,,'=1/120,exact_formula,1/120,'=E50,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_013
黑野猪,132,51,修罗,97,物品,,'=1/120,exact_formula,1/120,'=E51,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_010
黑野猪,132,52,死神手套,187,物品,,'=1/120,exact_formula,1/120,'=E52,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_009
黑野猪,132,53,骷髅头盔,150,物品,,'=1/120,exact_formula,1/120,'=E53,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_008
黑野猪,132,54,珊瑚戒指,210,物品,,'=1/120,exact_formula,1/120,'=E54,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_006
黑野猪,132,55,降妖除魔戒指,211,物品,,'=1/120,exact_formula,1/120,'=E55,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m132.slot_007
蝎蛇,138,6,金币,,金币,2250,'=1/3,exact_formula,1/3,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m138.slot_001
蝎蛇,138,7,太阳水,920014,物品,,'=1/25,exact_formula,1/25,'=E7,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m138.slot_002
蝎蛇,138,8,偃月,95,物品,,'=1/60,exact_formula,1/60,'=E8,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_032
蝎蛇,138,9,八荒,89,物品,,'=1/60,exact_formula,1/60,'=E9,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_038
蝎蛇,138,10,凌风,92,物品,,'=1/60,exact_formula,1/60,'=E10,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_041
蝎蛇,138,11,凤凰明珠,163,物品,,'=1/60,exact_formula,1/60,'=E11,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_045
蝎蛇,138,12,半月,91,物品,,'=1/60,exact_formula,1/60,'=E12,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_039
蝎蛇,138,13,坚固手套,182,物品,,'=1/60,exact_formula,1/60,'=E13,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_046
蝎蛇,138,14,小手镯,175,物品,,'=1/60,exact_formula,1/60,'=E14,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_037
蝎蛇,138,15,斩马刀,94,物品,,'=1/60,exact_formula,1/60,'=E15,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_031
蝎蛇,138,16,海魂,90,物品,,'=1/60,exact_formula,1/60,'=E16,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_040
蝎蛇,138,17,灯笼项链,164,物品,,'=1/60,exact_formula,1/60,'=E17,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_048
蝎蛇,138,18,珍珠戒指,205,物品,,'=1/60,exact_formula,1/60,'=E18,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_029
蝎蛇,138,19,琥珀项链,162,物品,,'=1/60,exact_formula,1/60,'=E19,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_044
蝎蛇,138,20,生铁戒指,201,物品,,'=1/60,exact_formula,1/60,'=E20,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_033
蝎蛇,138,21,白色虎齿项链,159,物品,,'=1/60,exact_formula,1/60,'=E21,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_034
蝎蛇,138,22,白金项链,155,物品,,'=1/60,exact_formula,1/60,'=E22,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_035
蝎蛇,138,23,破魂,93,物品,,'=1/60,exact_formula,1/60,'=E23,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_030
蝎蛇,138,24,蓝色水晶戒指,202,物品,,'=1/60,exact_formula,1/60,'=E24,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_042
蝎蛇,138,25,蛇眼戒指,204,物品,,'=1/60,exact_formula,1/60,'=E25,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_028
蝎蛇,138,26,道士手镯,185,物品,,'=1/60,exact_formula,1/60,'=E26,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_024
蝎蛇,138,27,降魔,96,物品,,'=1/60,exact_formula,1/60,'=E27,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_026
蝎蛇,138,28,骷髅戒指,207,物品,,'=1/60,exact_formula,1/60,'=E28,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_036
蝎蛇,138,29,魔力手镯,186,物品,,'=1/60,exact_formula,1/60,'=E29,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_047
蝎蛇,138,30,魔法手镯,183,物品,,'=1/60,exact_formula,1/60,'=E30,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.v505_0049
蝎蛇,138,31,魔鬼项链,161,物品,,'=1/60,exact_formula,1/60,'=E31,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_043
蝎蛇,138,32,黑檀手镯,184,物品,,'=1/60,exact_formula,1/60,'=E32,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_025
蝎蛇,138,33,黑色水晶戒指,203,物品,,'=1/60,exact_formula,1/60,'=E33,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_027
蝎蛇,138,34,灵魂战衣(男),127,物品,,'=1/60,exact_formula,1/60,'=E34,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_015
蝎蛇,138,36,蓝翡翠项链,165,物品,,'=1/60,exact_formula,1/60,'=E36,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_020
蝎蛇,138,37,道德戒指,209,物品,,'=1/60,exact_formula,1/60,'=E37,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_022
蝎蛇,138,38,重盔甲(男),122,物品,,'=1/60,exact_formula,1/60,'=E38,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_013
蝎蛇,138,40,金戒指,206,物品,,'=1/60,exact_formula,1/60,'=E40,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_019
蝎蛇,138,41,金手镯,188,物品,,'=1/60,exact_formula,1/60,'=E41,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_021
蝎蛇,138,42,魅力戒指,208,物品,,'=1/60,exact_formula,1/60,'=E42,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_023
蝎蛇,138,43,魔法长袍(男),124,物品,,'=1/60,exact_formula,1/60,'=E43,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_017
蝎蛇,138,45,凝霜,98,物品,,'=1/100,exact_formula,1/100,'=E45,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_007
蝎蛇,138,46,放大镜,166,物品,,'=1/100,exact_formula,1/100,'=E46,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_004
蝎蛇,138,47,竹笛,167,物品,,'=1/100,exact_formula,1/100,'=E47,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_005
蝎蛇,138,48,道士头盔,149,物品,,'=1/100,exact_formula,1/100,'=E48,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_006
蝎蛇,138,49,战神油,920019,物品,,'=1/100,exact_formula,1/100,'=E49,SPB:AUTO_BOOST,dpv2.direct.m138.slot_003
蝎蛇,138,50,祝福油,920033,物品,,'=1/100,exact_formula,1/100,'=E50,SPB:AUTO_BOOST,dpv2.direct.m138.v505_0003
蝎蛇,138,51,修罗,97,物品,,'=1/100,exact_formula,1/100,'=E51,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_012
蝎蛇,138,52,死神手套,187,物品,,'=1/100,exact_formula,1/100,'=E52,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_011
蝎蛇,138,53,骷髅头盔,150,物品,,'=1/100,exact_formula,1/100,'=E53,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_010
蝎蛇,138,54,珊瑚戒指,210,物品,,'=1/100,exact_formula,1/100,'=E54,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_008
蝎蛇,138,55,降妖除魔戒指,211,物品,,'=1/100,exact_formula,1/100,'=E55,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m138.slot_009
大老鼠,148,6,金币,,金币,1500,'=1/3,exact_formula,1/3,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m148.slot_001
大老鼠,148,7,金创药(中量),920044,物品,,'=1/15,exact_formula,1/15,'=E7,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m148.slot_002
大老鼠,148,8,魔法药(中量),920052,物品,,'=1/25,exact_formula,1/25,'=E8,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m148.slot_003
大老鼠,148,9,太阳水,920014,物品,,'=1/40,exact_formula,1/40,'=E9,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m148.slot_004
大老鼠,148,10,八荒,89,物品,,'=1/60,exact_formula,1/60,'=E10,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_039
大老鼠,148,11,凌风,92,物品,,'=1/60,exact_formula,1/60,'=E11,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_042
大老鼠,148,12,凤凰明珠,163,物品,,'=1/60,exact_formula,1/60,'=E12,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_046
大老鼠,148,13,半月,91,物品,,'=1/60,exact_formula,1/60,'=E13,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_040
大老鼠,148,14,坚固手套,182,物品,,'=1/60,exact_formula,1/60,'=E14,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_047
大老鼠,148,15,海魂,90,物品,,'=1/60,exact_formula,1/60,'=E15,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_041
大老鼠,148,16,灯笼项链,164,物品,,'=1/60,exact_formula,1/60,'=E16,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_049
大老鼠,148,17,琥珀项链,162,物品,,'=1/60,exact_formula,1/60,'=E17,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_045
大老鼠,148,18,蓝色水晶戒指,202,物品,,'=1/60,exact_formula,1/60,'=E18,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_043
大老鼠,148,19,魔法手镯,183,物品,,'=1/60,exact_formula,1/60,'=E19,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.v505_0050
大老鼠,148,20,魔鬼项链,161,物品,,'=1/60,exact_formula,1/60,'=E20,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_044
大老鼠,148,21,偃月,95,物品,,'=1/60,exact_formula,1/60,'=E21,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_033
大老鼠,148,22,小手镯,175,物品,,'=1/60,exact_formula,1/60,'=E22,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_038
大老鼠,148,23,斩马刀,94,物品,,'=1/60,exact_formula,1/60,'=E23,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_032
大老鼠,148,24,珍珠戒指,205,物品,,'=1/60,exact_formula,1/60,'=E24,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_030
大老鼠,148,25,生铁戒指,201,物品,,'=1/60,exact_formula,1/60,'=E25,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_034
大老鼠,148,26,白色虎齿项链,159,物品,,'=1/60,exact_formula,1/60,'=E26,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_035
大老鼠,148,27,白金项链,155,物品,,'=1/60,exact_formula,1/60,'=E27,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_036
大老鼠,148,28,破魂,93,物品,,'=1/60,exact_formula,1/60,'=E28,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_031
大老鼠,148,29,蛇眼戒指,204,物品,,'=1/60,exact_formula,1/60,'=E29,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_029
大老鼠,148,30,道士手镯,185,物品,,'=1/60,exact_formula,1/60,'=E30,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_025
大老鼠,148,31,降魔,96,物品,,'=1/60,exact_formula,1/60,'=E31,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_027
大老鼠,148,32,骷髅戒指,207,物品,,'=1/60,exact_formula,1/60,'=E32,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_037
大老鼠,148,33,魔力手镯,186,物品,,'=1/60,exact_formula,1/60,'=E33,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_048
大老鼠,148,34,黑檀手镯,184,物品,,'=1/60,exact_formula,1/60,'=E34,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_026
大老鼠,148,35,黑色水晶戒指,203,物品,,'=1/60,exact_formula,1/60,'=E35,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_028
大老鼠,148,36,攻击神水,910004,物品,,'=1/60,exact_formula,1/60,'=E36,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m148.slot_050
大老鼠,148,37,疾风神水,910003,物品,,'=1/60,exact_formula,1/60,'=E37,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m148.v505_0055
大老鼠,148,38,精神神水,910006,物品,,'=1/60,exact_formula,1/60,'=E38,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m148.slot_052
大老鼠,148,39,魔力神水,910005,物品,,'=1/60,exact_formula,1/60,'=E39,SPB:AUTO_BOOST;小怪神水分母x6,dpv2.direct.m148.slot_051
大老鼠,148,40,灵魂战衣(男),127,物品,,'=1/60,exact_formula,1/60,'=E40,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_016
大老鼠,148,42,蓝翡翠项链,165,物品,,'=1/60,exact_formula,1/60,'=E42,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_021
大老鼠,148,43,道德戒指,209,物品,,'=1/60,exact_formula,1/60,'=E43,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_023
大老鼠,148,44,重盔甲(男),122,物品,,'=1/60,exact_formula,1/60,'=E44,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_014
大老鼠,148,46,金戒指,206,物品,,'=1/60,exact_formula,1/60,'=E46,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_020
大老鼠,148,47,金手镯,188,物品,,'=1/60,exact_formula,1/60,'=E47,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_022
大老鼠,148,48,魅力戒指,208,物品,,'=1/60,exact_formula,1/60,'=E48,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_024
大老鼠,148,49,魔法长袍(男),124,物品,,'=1/60,exact_formula,1/60,'=E49,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_018
大老鼠,148,51,凝霜,98,物品,,'=1/120,exact_formula,1/120,'=E51,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_008
大老鼠,148,52,放大镜,166,物品,,'=1/120,exact_formula,1/120,'=E52,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_005
大老鼠,148,53,竹笛,167,物品,,'=1/120,exact_formula,1/120,'=E53,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_006
大老鼠,148,54,道士头盔,149,物品,,'=1/120,exact_formula,1/120,'=E54,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_007
大老鼠,148,55,修罗,97,物品,,'=1/120,exact_formula,1/120,'=E55,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_013
大老鼠,148,56,死神手套,187,物品,,'=1/120,exact_formula,1/120,'=E56,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_012
大老鼠,148,57,骷髅头盔,150,物品,,'=1/120,exact_formula,1/120,'=E57,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_011
大老鼠,148,58,珊瑚戒指,210,物品,,'=1/120,exact_formula,1/120,'=E58,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_009
大老鼠,148,59,降妖除魔戒指,211,物品,,'=1/120,exact_formula,1/120,'=E59,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m148.slot_010
大老鼠,148,60,金币,,金币,2500,'=1/500,exact_formula,1/500,'=E60,SPB:BYPASS_GOLD,dpv2.direct.m148.v505_0002
祖玛弓箭手,150,6,金币,,金币,1500,'=1/3,exact_formula,1/3,'=E6,SPB:BYPASS_GOLD,dpv2.direct.m150.slot_001
祖玛弓箭手,150,7,超级金创药,920017,物品,,'=1/25,exact_formula,1/25,'=E7,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m150.slot_002
祖玛弓箭手,150,8,超级魔法药,920042,物品,,'=1/40,exact_formula,1/40,'=E8,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m150.slot_003
祖玛弓箭手,150,9,太阳水,920014,物品,,'=1/50,exact_formula,1/50,'=E9,SPB:BYPASS_COMMON_RECOVERY,dpv2.direct.m150.slot_004
祖玛弓箭手,150,10,八荒,89,物品,,'=1/60,exact_formula,1/60,'=E10,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_039
祖玛弓箭手,150,11,凌风,92,物品,,'=1/60,exact_formula,1/60,'=E11,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_042
祖玛弓箭手,150,12,凤凰明珠,163,物品,,'=1/60,exact_formula,1/60,'=E12,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_046
祖玛弓箭手,150,13,半月,91,物品,,'=1/60,exact_formula,1/60,'=E13,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_040
祖玛弓箭手,150,14,坚固手套,182,物品,,'=1/60,exact_formula,1/60,'=E14,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_047
祖玛弓箭手,150,15,海魂,90,物品,,'=1/60,exact_formula,1/60,'=E15,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_041
祖玛弓箭手,150,16,灯笼项链,164,物品,,'=1/60,exact_formula,1/60,'=E16,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_049
祖玛弓箭手,150,17,琥珀项链,162,物品,,'=1/60,exact_formula,1/60,'=E17,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_045
祖玛弓箭手,150,18,蓝色水晶戒指,202,物品,,'=1/60,exact_formula,1/60,'=E18,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_043
祖玛弓箭手,150,19,魔法手镯,183,物品,,'=1/60,exact_formula,1/60,'=E19,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.v505_0049
祖玛弓箭手,150,20,魔鬼项链,161,物品,,'=1/60,exact_formula,1/60,'=E20,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_044
祖玛弓箭手,150,21,体力强效神水,910001,物品,,'=1/60,exact_formula,1/60,'=E21,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪神水分母x6,dpv2.direct.m150.v505_0053
祖玛弓箭手,150,22,精神神水,910006,物品,,'=1/60,exact_formula,1/60,'=E22,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪神水分母x6,dpv2.direct.m150.slot_051
祖玛弓箭手,150,23,魔力神水,910005,物品,,'=1/60,exact_formula,1/60,'=E23,SPB:AUTO_BOOST;SPB_CEILING_1_20;小怪神水分母x6,dpv2.direct.m150.slot_050
祖玛弓箭手,150,24,偃月,95,物品,,'=1/60,exact_formula,1/60,'=E24,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_033
祖玛弓箭手,150,25,小手镯,175,物品,,'=1/60,exact_formula,1/60,'=E25,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_038
祖玛弓箭手,150,26,斩马刀,94,物品,,'=1/60,exact_formula,1/60,'=E26,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_032
祖玛弓箭手,150,27,珍珠戒指,205,物品,,'=1/60,exact_formula,1/60,'=E27,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_030
祖玛弓箭手,150,28,生铁戒指,201,物品,,'=1/60,exact_formula,1/60,'=E28,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_034
祖玛弓箭手,150,29,白色虎齿项链,159,物品,,'=1/60,exact_formula,1/60,'=E29,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_035
祖玛弓箭手,150,30,白金项链,155,物品,,'=1/60,exact_formula,1/60,'=E30,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_036
祖玛弓箭手,150,31,破魂,93,物品,,'=1/60,exact_formula,1/60,'=E31,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_031
祖玛弓箭手,150,32,蛇眼戒指,204,物品,,'=1/60,exact_formula,1/60,'=E32,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_029
祖玛弓箭手,150,33,道士手镯,185,物品,,'=1/60,exact_formula,1/60,'=E33,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_025
祖玛弓箭手,150,34,降魔,96,物品,,'=1/60,exact_formula,1/60,'=E34,SPB:AUTO_BOOST;小怪装备分母x3,dpv2.direct.m150.slot_027
