工作表,怪物ID,Excel行,展示名,源物品ID,单槽概率,独立槽个数,代表槽ID,尚缺信息
恶灵尸王,198,46,金创药(中量) ×3,920044,1/200,3,dpv2.direct.m198.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
恶灵尸王,198,47,魔法药(中量) ×3,920052,1/200,3,dpv2.direct.m198.slot_022,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
恶灵尸王,198,52,太阳水 ×5,920014,1/400,5,dpv2.direct.m198.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
恶灵尸王,198,53,强效太阳水 ×3,920016,1/400,3,dpv2.direct.m198.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
恶灵尸王,198,54,超级金创药 ×2,920017,1/400,2,dpv2.direct.m198.slot_020,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
恶灵尸王,198,55,超级魔法药 ×2,920042,1/400,2,dpv2.direct.m198.slot_025,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
恶灵尸王,198,57,太阳水 ×5,920014,1/800,5,dpv2.direct.m198.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
恶灵尸王,198,58,强效太阳水 ×2,920016,1/800,2,dpv2.direct.m198.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,7,超级金创药 ×3,920017,1/1,3,dpv2.direct.m208.slot_034,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,8,超级魔法药 ×3,920042,1/1,3,dpv2.direct.m208.slot_044,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,10,太阳水 ×7,920014,1/2,7,dpv2.direct.m208.v505_0028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,11,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m208.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,12,疗伤药 ×7,910007,1/2,7,dpv2.direct.m208.slot_022,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,14,超级金创药 ×5,920017,1/2,5,dpv2.direct.m208.slot_029,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,15,超级魔法药 ×5,920042,1/2,5,dpv2.direct.m208.slot_039,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,32,太阳水 ×7,920014,1/4,7,dpv2.direct.m208.v505_0035,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
黄泉教主,208,33,强效太阳水 ×5,920016,1/4,5,dpv2.direct.m208.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔王,224,7,超级金创药 ×2,920017,1/1,2,dpv2.direct.m224.slot_025,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔王,224,8,超级魔法药 ×2,920042,1/1,2,dpv2.direct.m224.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔王,224,22,超级金创药 ×2,920017,1/2,2,dpv2.direct.m224.slot_021,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔王,224,23,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m224.slot_023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔王,224,42,太阳水 ×4,920014,1/4,4,dpv2.direct.m224.slot_014,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
牛魔王,224,43,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m224.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头血魔,235,6,回城卷 ×6,920007,1/1,6,dpv2.direct.m235.slot_047,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头血魔,235,7,超级金创药 ×8,920017,1/1,8,dpv2.direct.m235.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头血魔,235,8,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m235.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头血魔,235,9,强效太阳水 ×10,920016,1/2,10,dpv2.direct.m235.slot_037,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头血魔,235,10,超级金创药 ×2,920017,1/2,2,dpv2.direct.m235.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头血魔,235,11,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m235.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头血魔,235,13,强效太阳水 ×10,920016,1/4,10,dpv2.direct.m235.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头金刚,236,6,回城卷 ×6,920007,1/1,6,dpv2.direct.m236.slot_047,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头金刚,236,7,超级金创药 ×8,920017,1/1,8,dpv2.direct.m236.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头金刚,236,8,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m236.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头金刚,236,9,强效太阳水 ×10,920016,1/2,10,dpv2.direct.m236.slot_037,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头金刚,236,10,超级金创药 ×2,920017,1/2,2,dpv2.direct.m236.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头金刚,236,11,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m236.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之双头金刚,236,13,强效太阳水 ×10,920016,1/4,10,dpv2.direct.m236.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之黄泉教主,237,6,回城卷 ×6,920007,1/1,6,dpv2.direct.m237.slot_047,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之黄泉教主,237,7,超级金创药 ×8,920017,1/1,8,dpv2.direct.m237.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之黄泉教主,237,8,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m237.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之黄泉教主,237,9,强效太阳水 ×10,920016,1/2,10,dpv2.direct.m237.slot_037,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之黄泉教主,237,10,超级金创药 ×2,920017,1/2,2,dpv2.direct.m237.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之黄泉教主,237,11,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m237.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之黄泉教主,237,13,强效太阳水 ×10,920016,1/4,10,dpv2.direct.m237.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之骷髅精灵,238,6,回城卷 ×6,920007,1/1,6,dpv2.direct.m238.slot_047,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之骷髅精灵,238,7,超级金创药 ×8,920017,1/1,8,dpv2.direct.m238.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之骷髅精灵,238,8,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m238.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之骷髅精灵,238,9,强效太阳水 ×10,920016,1/2,10,dpv2.direct.m238.slot_037,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之骷髅精灵,238,10,超级金创药 ×2,920017,1/2,2,dpv2.direct.m238.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之骷髅精灵,238,11,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m238.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之骷髅精灵,238,13,强效太阳水 ×10,920016,1/4,10,dpv2.direct.m238.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之虹魔教主,240,6,回城卷 ×6,920007,1/1,6,dpv2.direct.m240.slot_047,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之虹魔教主,240,7,超级金创药 ×8,920017,1/1,8,dpv2.direct.m240.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之虹魔教主,240,8,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m240.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之虹魔教主,240,9,强效太阳水 ×10,920016,1/2,10,dpv2.direct.m240.slot_037,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之虹魔教主,240,10,超级金创药 ×2,920017,1/2,2,dpv2.direct.m240.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之虹魔教主,240,11,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m240.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之虹魔教主,240,13,强效太阳水 ×10,920016,1/4,10,dpv2.direct.m240.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之牛魔王,225,6,强效太阳水 ×5,920016,1/1,5,dpv2.direct.m225.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之牛魔王,225,9,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m225.slot_010,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之牛魔王,225,10,超级金创药 ×3,920017,1/2,3,dpv2.direct.m225.slot_024,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之牛魔王,225,11,超级魔法药 ×3,920042,1/2,3,dpv2.direct.m225.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之牛魔王,225,13,疗伤药 ×7,910007,1/4,7,dpv2.direct.m225.slot_015,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之牛魔王,225,14,超级金创药 ×5,920017,1/4,5,dpv2.direct.m225.slot_030,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之牛魔王,225,15,超级魔法药 ×5,920042,1/4,5,dpv2.direct.m225.slot_035,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之牛魔王,225,34,祈祷头盔 ×2,224,1/20,2,dpv2.direct.m225.slot_041,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱1,227,21,太阳水 ×5,920014,1/10,5,dpv2.direct.m227.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱1,227,22,强效太阳水 ×3,920016,1/10,3,dpv2.direct.m227.slot_004,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱1,227,29,太阳水 ×5,920014,1/20,5,dpv2.direct.m227.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱1,227,30,强效太阳水 ×2,920016,1/20,2,dpv2.direct.m227.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱2,228,8,太阳水 ×5,920014,1/10,5,dpv2.direct.m228.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱2,228,10,强效太阳水 ×3,920016,1/10,3,dpv2.direct.m228.slot_004,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱2,228,28,太阳水 ×6,920014,1/20,6,dpv2.direct.m228.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱2,228,30,强效太阳水 ×2,920016,1/20,2,dpv2.direct.m228.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱3,229,6,太阳水 ×5,920014,1/1,5,dpv2.direct.m229.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱3,229,7,强效太阳水 ×2,920016,1/1,2,dpv2.direct.m229.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱3,229,9,太阳水 ×5,920014,1/2,5,dpv2.direct.m229.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱3,229,10,强效太阳水 ×3,920016,1/2,3,dpv2.direct.m229.slot_004,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱4,230,9,太阳水 ×4,920014,1/2,4,dpv2.direct.m230.slot_011,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱4,230,10,强效太阳水 ×2,920016,1/2,2,dpv2.direct.m230.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱4,230,11,超级金创药 ×3,920017,1/2,3,dpv2.direct.m230.slot_016,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱4,230,12,超级魔法药 ×3,920042,1/2,3,dpv2.direct.m230.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱5,231,6,太阳水 ×2,920014,1/1,2,dpv2.direct.m231.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱5,231,7,强效太阳水 ×3,920016,1/1,3,dpv2.direct.m231.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱5,231,11,强效太阳水 ×2,920016,1/2,2,dpv2.direct.m231.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱5,231,12,超级金创药 ×2,920017,1/2,2,dpv2.direct.m231.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱5,231,13,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m231.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱6,232,6,太阳水 ×8,920014,1/1,8,dpv2.direct.m232.slot_020,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱6,232,7,强效太阳水 ×8,920016,1/1,8,dpv2.direct.m232.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱6,232,8,超级金创药 ×8,920017,1/1,8,dpv2.direct.m232.slot_030,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱6,232,9,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m232.slot_040,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱6,232,11,太阳水 ×2,920014,1/2,2,dpv2.direct.m232.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱6,232,12,强效太阳水 ×2,920016,1/2,2,dpv2.direct.m232.slot_016,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱6,232,13,超级金创药 ×2,920017,1/2,2,dpv2.direct.m232.slot_028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱6,232,14,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m232.slot_038,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱7,233,6,太阳水 ×5,920014,1/1,5,dpv2.direct.m233.slot_023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱7,233,7,强效太阳水 ×5,920016,1/1,5,dpv2.direct.m233.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱7,233,11,太阳水 ×5,920014,1/2,5,dpv2.direct.m233.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱7,233,12,强效太阳水 ×5,920016,1/2,5,dpv2.direct.m233.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱7,233,13,超级金创药 ×4,920017,1/2,4,dpv2.direct.m233.slot_028,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱7,233,14,超级魔法药 ×3,920042,1/2,3,dpv2.direct.m233.slot_029,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱7,233,25,降魔 ×2,96,1/3,2,dpv2.direct.m233.slot_084,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱8,234,6,太阳水 ×3,920014,1/1,3,dpv2.direct.m234.slot_013,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱8,234,7,强效太阳水 ×4,920016,1/1,4,dpv2.direct.m234.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱8,234,8,超级金创药 ×3,920017,1/1,3,dpv2.direct.m234.slot_018,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱8,234,9,超级魔法药 ×3,920042,1/1,3,dpv2.direct.m234.slot_023,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱8,234,11,太阳水 ×2,920014,1/2,2,dpv2.direct.m234.slot_011,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱8,234,12,强效太阳水 ×2,920016,1/2,2,dpv2.direct.m234.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱8,234,13,超级金创药 ×2,920017,1/2,2,dpv2.direct.m234.slot_016,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
宝箱8,234,14,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m234.slot_021,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
巨型多角虫,107,6,太阳水 ×5,920014,1/1,5,dpv2.direct.m107.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
巨型多角虫,107,7,强效太阳水 ×3,920016,1/1,3,dpv2.direct.m107.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
巨型多角虫,107,8,金创药(中量) ×3,920044,1/1,3,dpv2.direct.m107.v505_0017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
巨型多角虫,107,10,魔法药(中量) ×3,920052,1/1,3,dpv2.direct.m107.v505_0022,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
巨型多角虫,107,12,太阳水 ×5,920014,1/2,5,dpv2.direct.m107.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
巨型多角虫,107,13,强效太阳水 ×2,920016,1/2,2,dpv2.direct.m107.slot_005,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
巨型多角虫,107,16,金创药(中量) ×2,920044,1/2,2,dpv2.direct.m107.v505_0020,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
巨型多角虫,107,17,魔法药(中量) ×2,920052,1/2,2,dpv2.direct.m107.v505_0025,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
血巨人,164,9,金币 ×2,,1/3,2,dpv2.direct.m164.v505_0001,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
血僵尸,166,9,金币 ×2,,1/3,2,dpv2.direct.m166.v505_0001,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
多钩猫王,31,7,金创药(中量) ×4,920044,1/2,4,dpv2.direct.m31.slot_006,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
多钩猫王,31,8,魔法药(中量) ×4,920052,1/2,4,dpv2.direct.m31.slot_010,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
多钩猫王,31,9,太阳水 ×4,920014,1/4,4,dpv2.direct.m31.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
钉耙猫王,32,7,金创药(中量) ×4,920044,1/2,4,dpv2.direct.m32.slot_006,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
钉耙猫王,32,8,魔法药(中量) ×4,920052,1/2,4,dpv2.direct.m32.slot_010,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
钉耙猫王,32,9,太阳水 ×4,920014,1/4,4,dpv2.direct.m32.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽统领,42,7,疗伤药 ×2,910007,1/2,2,dpv2.direct.m42.slot_008,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽统领,42,8,超级金创药 ×4,920017,1/2,4,dpv2.direct.m42.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽统领,42,9,超级魔法药 ×4,920042,1/2,4,dpv2.direct.m42.slot_016,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽统领,42,10,太阳水 ×2,920014,1/4,2,dpv2.direct.m42.slot_006,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
半兽统领,42,11,强效太阳水 ×6,920016,1/4,6,dpv2.direct.m42.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛弓箭手3,152,33,降魔 ×2,96,1/20,2,dpv2.direct.m152.slot_049,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛雕像3,155,34,降魔 ×2,96,1/20,2,dpv2.direct.m155.slot_049,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士3,158,34,降魔 ×2,96,1/20,2,dpv2.direct.m158.slot_051,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士00,159,6,超级金创药 ×8,920017,1/1,8,dpv2.direct.m159.slot_014,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士00,159,7,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m159.slot_024,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士00,159,9,太阳水 ×8,920014,1/2,8,dpv2.direct.m159.v505_0012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士00,159,10,强效太阳水 ×8,920016,1/2,8,dpv2.direct.m159.slot_002,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士00,159,11,超级金创药 ×2,920017,1/2,2,dpv2.direct.m159.slot_012,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士00,159,12,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m159.slot_022,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士00,159,13,太阳水 ×2,920014,1/4,2,dpv2.direct.m159.v505_0020,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
祖玛卫士00,159,14,强效太阳水 ×2,920016,1/4,2,dpv2.direct.m159.slot_010,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之沃玛教主,239,6,回城卷 ×6,920007,1/1,6,dpv2.direct.m239.slot_047,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之沃玛教主,239,7,超级金创药 ×8,920017,1/1,8,dpv2.direct.m239.slot_019,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之沃玛教主,239,8,超级魔法药 ×8,920042,1/1,8,dpv2.direct.m239.slot_009,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之沃玛教主,239,9,强效太阳水 ×10,920016,1/2,10,dpv2.direct.m239.slot_037,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之沃玛教主,239,10,超级金创药 ×2,920017,1/2,2,dpv2.direct.m239.slot_017,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之沃玛教主,239,11,超级魔法药 ×2,920042,1/2,2,dpv2.direct.m239.slot_007,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
暗之沃玛教主,239,13,强效太阳水 ×10,920016,1/4,10,dpv2.direct.m239.slot_027,必须恢复本行全部原始slot_uid及原始次序；不能按物品名合并不同组
